transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount
GAJH249J9L76BV,30183483265664,bni,"Puspa Budiyanto, S.Kom",F,2012,JAK.27,Pulo Gebang - Rorotan,1.0,B00422P,Gg. Bhakti Lingkar Timur,-6.197075,106.94408,39,2023-04-14 11:15:45,B00546P,Gg. Sabar 2 Lingkar Timur,-6.199915,106.94488,42.0,2023-04-14 11:51:59,0.0
MGCB100D9B47GK,180097961752050,emoney,Narji Wijaya,F,2011,7F,Kampung Rambutan - Juanda via Pasar Baru,1.0,P00247,Tanah Merdeka Arah Timur,-6.307866,106.87389,15,2023-04-14 10:01:19,P00101,Kampung Rambutan,-6.309885,106.88216,16.0,2023-04-14 10:25:42,3500.0
IXLO657D6E85XY,4658673312063,online,"Farah Mansur, S.Pt",M,1993,9C,Pinang Ranti - Bundaran Senayan,0.0,P00065,Gatot Subroto Jamsostek Arah Barat,-6.233551,106.82208,12,2023-04-14 07:52:23,P00026,Bundaran Senayan,-6.227869,106.80094,14.0,2023-04-14 08:59:05,3500.0
FYYY742A3L71TP,4358928087871,online,Dadi Nasyiah,F,1995,1C,Pesanggrahan - Blok M,1.0,"",Mayestik 1,-6.242041,106.79116,5,2023-04-14 10:36:18,B01882P,Kec. Pesanggrahan,-6.256912,106.7564,28.0,2023-04-14 11:41:47,3500.0
PHZE698Z0N42WG,377814808795289,emoney,"Puti Jessica Putra, S.Farm",F,2008,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,0.0,B04691P,Sherwood,-6.153084,106.90713,30,2023-04-14 10:01:14,B04916P,Simpang Kelapa Cengkir Raya,-6.167577,106.90478,39.0,2023-04-14 11:53:02,0.0
LUKV847Q6E21EO,180005680484434,emoney,Zaenab Maheswara,F,2006,13D,Puri Beta - Ragunan,0.0,"",Tirtayasa,-6.239207,106.80777,10,2023-04-14 06:01:43,P00024,Buncit Indah,-6.274333,106.83029,17.0,2023-04-14 07:54:09,3500.0
PYUI457H0C30ZY,3542062438073909,dki,"Luluh Purwanti, S.E.I",F,1987,JAK.99,Term. Pulo Gadung - Lampiri,1.0,B06724P,SDN Rawa Terate,-6.188059,106.923138,25,2023-04-14 12:49:02,B00788P,IGI,-6.182981,106.91917,27.0,2023-04-14 14:48:33,0.0
BJQO455V1V88QW,6505428590869475,dki,dr. Janet Budiyanto,M,1965,4E,Rusun Jatinegara Kaum - Pulo Gadung,0.0,B02943P,Pool Mayasari Bakti,-6.202095,106.90445,8,2023-04-14 06:55:14,"","","","","","",0.0
BPFV025F5B13EF,6509546148313351,dki,Edi Susanti,M,1982,6C,Stasiun Tebet - Karet via Patra Kuningan,0.0,B05397P,SMU 79,-6.225412,106.83865,5,2023-04-14 11:12:26,P00121,Kuningan Timur,-6.234731,106.82902,10.0,2023-04-14 12:53:48,3500.0
LBCY152G8O77OZ,371171976930370,emoney,Gilang Susanti,F,2004,JAK.06,Kampung Rambutan - Pondok Gede,1.0,B00713P,Griya Kukila Halim Perdanakusuma,-6.28456,106.90678,49,2023-04-14 09:09:01,B02929P,Pondok Molek,-6.284344,106.90862,50.0,2023-04-14 10:23:58,0.0
WJWG234B4A85UE,4980564692107508708,brizzi,"Drs. Yessi Wulandari, M.Farm",M,2008,1H,Tanah Abang - Stasiun Gondangdia,0.0,B04728P,Simpang Blok A,-6.187214,106.81611,9,2023-04-14 13:34:47,B00158P,Blok E,-6.18497,106.81463,11.0,2023-04-14 14:28:31,3500.0
UBNR737G4Y90WE,4844470388320,online,"Rina Gunarto, S.Sos",M,1984,"","",1.0,B03318P,Sawo Kecik Raya,-6.224852,106.85489,22,2023-04-14 06:32:35,B05511P,St. Tebet 2,-6.225525,106.85813,24.0,2023-04-14 07:12:14,""
EERZ067D6B11HJ,6544577386584806,dki,"Tgk. Shakila Pangestu, S.H.",M,2001,D32,Cinere - Bundaran Senayan,0.0,B05399P,South City Cinere,-6.34504,106.767638,0,2023-04-14 07:13:24,B06643P,Perempatan Gandul,-6.33963,106.79332,5.0,2023-04-14 08:48:07,20000.0
VPRM381C9G11IX,2294272245944067,dki,"Tgk. Usyi Sirait, S.Gz",F,2001,12H,Rusun Penjaringan - Penjaringan,1.0,P00170,Penjaringan,-6.126306,106.79203,0,2023-04-14 12:41:03,B03285P,Rusun Penjaringan,-6.130702,106.79487,1.0,2023-04-14 13:31:02,3500.0
MXWX885W8H89SD,6011512141688729,dki,Nyoman Winarsih,F,1999,JAK.46,Pasar Minggu - Jagakarsa,0.0,B04330P,Sbr. SDN Cipedak 03,-6.349013,106.80931,3,2023-04-14 10:56:21,B05654P,Taman Spatodhea,-6.322818,106.82439,13.0,2023-04-14 12:22:13,0.0
INDO989K9C59HV,4721742558058605,dki,Drajat Halimah,M,1983,6V,Ragunan - Gelora Bung Karno,1.0,P00273,Warung Jati,-6.262364,106.82977,10,2023-04-14 09:37:17,P00228,SMK 57,-6.290967,106.82365,14.0,2023-04-14 11:03:55,3500.0
LMBE568I7G91ND,3567474399039094,dki,Pia Lailasari,F,1995,B14,Bekasi Barat - Kuningan,1.0,"",Kuningan Media,-6.208989,106.83039,0,2023-04-14 07:47:59,P00236,Summarecon Bekasi,-6.225566,107.00281,19.0,2023-04-14 09:26:32,20000.0
IRQV303Q9E83PJ,3530393834004501,dki,Melinda Iswahyudi,M,1984,13C,Puri Beta - Dukuh Atas,1.0,P00106,Kebayoran Lama,-6.23834,106.77752,11,2023-04-14 13:48:11,P00043,Cipulir,-6.237818,106.76541,13.0,2023-04-14 15:13:43,3500.0
