transID,payCardID,halteID_tapIn,halteID_tapOut,corridorID,transaction_created_at,tapInTime,tapOutTime,duration,stopStartSeq,stopEndSeq,seqAmount,payAmount
EIIW227B8L34VB,180062659848800,P00142,P00253,5,2023-04-03,2023-04-03T05:21:44.000Z,2023-04-03T06:00:53.000Z,39,7,12.0,5.0,3500.0
LGXO740D2N47GZ,4885331907664776,B01963P,B03307P,6C,2023-04-03,2023-04-03T05:42:44.000Z,2023-04-03T06:40:01.000Z,57,13,21.0,8.0,3500.0
DJWR385V2U57TO,4996225095064169,B00499P,B04962P,R1A,2023-04-03,2023-04-03T05:59:06.000Z,2023-04-03T06:50:55.000Z,51,38,39.0,1.0,3500.0
JTUZ800U7C86EH,639099174703,B05587P,B03090P,11D,2023-04-03,2023-04-03T05:44:51.000Z,2023-04-03T06:28:16.000Z,43,23,29.0,6.0,3500.0
VMLO535V7F95NJ,570928206772,P00239,P00098,12,2023-04-03,2023-04-03T06:17:35.000Z,2023-04-03T06:57:03.000Z,39,5,15.0,10.0,3500.0
DDES630K2F80KC,2251412124634980,B00127P,B00694P,1T,2023-04-03,2023-04-03T05:08:01.000Z,2023-04-03T05:52:25.000Z,44,3,6.0,3.0,20000.0
HEMW326B9N91TV,213155822653833,B00243P,unknown,JAK.18,2023-04-03,2023-04-03T06:58:21.000Z,"","",25,"","",0.0
XTKE052E5E87LN,3587341902618993,B03416P,B00899P,unknown,2023-04-03,2023-04-03T06:44:24.000Z,2023-04-03T07:11:43.000Z,27,2,12.0,10.0,0.0
OIHS248V7S72EB,6510013988638519,B00795P,B01853P,B14,2023-04-03,2023-04-03T06:01:44.000Z,2023-04-03T06:51:12.000Z,49,1,16.0,15.0,20000.0
ERXO372B2H63RB,3580401035990896,B05781P,B06578P,1Q,2023-04-03,2023-04-03T05:57:47.000Z,2023-04-03T06:51:12.000Z,53,15,24.0,9.0,3500.0
